HUC_8,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
02050104,31.0892,38.2258,34.5125,36.7835,46.5078,34.1836,38.4126,36.2069,29.7707,38.0321,46.5546,29.4346,44.7451,42.7475,49.0478,38.0544,51.0783,38.1666,42.3215,39.723,40.6602,34.4062,41.7929,49.6348,51.8953,45.259,48.0504,41.7316,42.4013,39.2621,43.543,56.4234
02050106,32.1089,37.5215,35.924,47.2591,45.9229,39.8196,44.7424,40.4899,33.019,42.9528,49.2492,33.0135,41.6041,46.8212,51.2953,38.7227,56.2677,35.6482,44.9899,41.0054,45.4283,37.5504,46.5579,54.358,54.783,46.6864,51.5424,45.7011,49.1402,41.5553,43.7425,68.6906
02050107,30.8805,41.0743,41.0861,51.9846,47.924,44.2646,48.3941,45.3639,41.2966,45.8613,54.2959,38.386,43.1086,49.7534,54.4864,39.5682,64.1412,37.5437,46.3874,43.3789,47.406,36.6251,49.3747,60.898,57.725,48.1771,57.731,48.5847,52.9784,46.3988,45.2499,77.0155
02050201,40.0882,43.6365,40.7283,44.0855,49.8833,44.7953,46.8722,44.1413,37.4537,46.3192,55.5467,37.3195,45.3817,51.3353,53.581,40.7349,61.5419,44.1162,43.6241,43.7087,42.653,35.7178,45.9547,56.2162,59.5137,43.5579,46.5234,45.7073,46.7503,42.587,44.5668,61.4545
02050202,39.4321,46.6473,42.1927,46.9499,54.7677,45.8736,46.8866,46.1349,37.3489,45.4405,57.4714,37.497,54.5289,50.1531,55.7473,42.2069,60.2274,45.9608,43.6726,43.7666,44.2897,40.1348,48.853,58.392,61.5078,45.274,51.9563,48.8716,45.5323,44.073,46.1155,60.368
02050203,37.1179,43.6085,40.0946,47.0247,54.3236,42.9743,47.0886,41.8278,36.7467,41.406,53.9066,36.0897,49.666,50.5047,53.8079,41.9209,61.797,42.126,43.8614,43.32,42.3687,39.9369,46.0605,60.0687,62.0334,44.7839,48.8945,43.6536,46.5125,44.1155,47.9683,63.8354
02050204,35.1703,42.7521,41.4031,49.2303,52.3078,41.3373,46.6807,42.363,36.6042,43.141,53.1483,35.7885,42.8328,51.3085,52.1365,39.8669,63.5286,40.0906,41.4039,42.6109,39.8033,35.3676,44.86,59.0753,59.3951,40.7447,44.7518,40.2634,46.1816,42.6976,45.4465,63.8282
02050205,35.0047,41.0638,35.6327,42.4079,49.213,37.7301,40.7381,36.0226,31.491,37.9246,47.1586,32.0578,45.5353,46.518,53.8848,41.9677,57.5961,40.5646,45.0867,44.2733,41.0983,39.2804,44.2666,56.8623,59.0603,47.7532,48.8059,45.5191,46.9296,42.4309,46.2835,62.9894
02050206,34.2999,40.5245,40.2596,50.9909,50.0539,40.2765,47.1349,41.2536,37.129,43.7096,52.9715,36.3877,44.1057,50.149,53.2942,40.366,61.3915,37.3967,46.134,47.7755,45.0149,38.736,48.1985,59.1918,60.0906,49.8749,53.8116,43.5446,50.8781,45.5133,45.2087,76.0504
02050302,37.4798,38.5124,40.0787,44.2027,46.34,41.0878,41.1448,40.4375,35.818,44.6245,48.2197,32.7139,38.5191,49.3103,49.0153,38.3104,61.2725,42.6443,40.9998,41.6024,36.6643,30.6408,42.1436,55.1931,55.7358,39.3503,41.8052,42.7217,44.4602,38.9436,43.2883,60.0215
02050303,38.0791,38.2764,37.4241,44.9229,46.1954,42.2811,36.9934,38.1279,35.7382,47.6046,44.116,28.1756,38.3741,47.6105,46.011,38.188,60.7422,41.7342,39.8899,42.1128,39.3538,28.6254,41.4283,53.8659,53.4641,35.8631,40.0274,45.0703,47.763,37.5338,41.9672,57.1941
02070001,39.1572,37.1335,42.7702,41.5826,44.1626,46.2585,35.6871,39.0189,30.0735,50.4281,44.2359,35.2507,40.1494,45.1993,46.0394,41.2959,66.2552,38.648,42.0081,36.5258,40.1409,37.7002,50.3708,61.9078,48.6477,39.9608,42.7072,44.1074,46.0614,45.1152,36.6387,56.2674
02070002,41.9084,43.2788,40.3566,42.7895,46.1714,48.2563,39.8684,38.1898,37.2993,47.9223,45.5471,32.4312,39.7935,47,49.2685,42.441,65.0067,42.1335,42.9006,38.0043,40.1587,37.661,46.8211,60.6681,51.3703,42.1206,40.4186,44.9961,52.8054,47.5445,41.9933,57.0118
03150105,59.0754,48.5687,69.7233,62.5093,55.279,48.324,40.3862,42.2322,42.6006,75.3829,64.5411,56.6653,65.1623,45.9015,66.3805,57.7559,62.2771,64.131,59.0549,49.3375,50.8314,54.9494,62.8895,66.2872,62.888,49.6488,47.1059,33.9358,51.7187,71.2439,48.4764,60.8553
03150106,57.5745,45.5499,69.1541,73.1682,50.3975,48.8881,38.3709,46.1701,49.1754,68.1652,57.9509,55.4472,60.5088,45.4187,61.9985,60.0091,59.6218,64.3742,57.7024,49.8936,47.8498,60.5259,62.73,66.5666,63.7271,53.4248,50.1538,31.6066,54.5937,75.6392,48.0893,57.6558
03150202,59.8096,48.5519,65.646,77.5218,51.4011,48.828,48.1517,48.2592,50.4011,63.2819,59.6618,57.9238,56.9765,48.8252,58.6284,60.1898,59.903,63.3696,62.5508,50.2677,44.6355,64.3334,59.4618,67.0595,58.9288,64.1665,51.5098,32.4642,56.6196,78.8941,51.1057,50.8509
03160101,59.3066,41.0734,70.4233,81.3898,53.1335,50.1914,50.8378,46.4046,46.9512,74.5967,67.3373,85.2667,51.7232,51.159,66.8873,60.3057,63.0424,66.1402,59.3536,51.2574,45.4652,70.5612,68.2954,67.9,72.4458,55.8312,52.0963,39.3293,56.0083,71.4472,48.0726,63.2906
03160103,65.9602,43.8179,69.6349,80.7206,55.5149,56.6389,53.6327,46.5647,50.209,75.655,71.733,81.4948,48.845,52.8382,67.7046,67.7652,66.1107,70.1581,61.7416,49.5514,45.3628,69.889,67.5342,71.5454,70.2153,58.5906,54.5354,40.7376,61.2659,78.1469,50.9179,62.9731
03160105,64.8386,41.5541,68.2305,83.9664,55.1514,53.0357,50.5119,44.5309,51.3503,75.5555,67.6708,74.7303,51.5015,49.7753,65.1548,65.863,64.0759,64.8539,61.0142,50.0068,44.0498,69.4042,64.7493,75.5949,67.3195,58.5397,54.7083,34.8339,61.4247,85.2332,50.8367,60.7927
03160106,61.3532,39.8444,63.7243,84.1521,50.3784,51.1391,46.5209,45.3549,51.3173,68.1297,61.7011,68.8465,53.825,49.9307,59.8491,57.8087,57.1795,63.6027,57.1782,50.3064,44.4172,64.28,57.2688,67.9015,64.7541,61.0516,52.3751,33.7985,57.2635,76.1851,48.56,55.0606
03160107,63.5374,42.33,68.0619,83.3759,52.1427,54.3715,48.9234,45.4322,52.2424,70.8205,65.3309,70.3079,53.6168,49.3826,62.9222,59.8886,63.1571,65.9939,60.3408,51.2054,46.7298,69.1749,62.1338,71.8857,67.8983,63.0653,55.5517,35.6381,59.3394,81.2642,51.11,59.0323
03160109,64.7362,45.6255,65.8681,71.3738,52.0781,57.2613,46.4206,46.8538,49.3726,70.1858,65.3273,67.0861,54.6233,48.4919,68.0727,58.1961,64.2839,68.0527,61.1745,49.6671,49.7338,71.6968,66.778,67.4355,70.2453,55.9816,57.6606,32.7988,61.4847,84.9529,53.7743,65.5981
03160110,63.6235,46.0415,67.2408,69.0872,53.1189,56.2281,49.3374,50.2469,49.0824,73.2096,68.7302,70.3025,54.1622,50.1798,69.4184,60.7229,63.8811,71.046,62.2623,50.9319,51.5942,73.2377,66.8179,70.6612,72.9268,56.9512,59.8746,33.0687,62.988,85.7209,53.8557,68.3443
03160111,62.65,46.9104,67.1192,69.7823,50.5789,55.3225,42.0816,46.9636,49.6433,68.6583,61.7504,56.6284,55.1231,45.0928,65.5449,58.7519,61.5439,67.3421,58.9085,49.3173,49.6858,66.7979,67.938,64.0379,69.4202,53.2194,54.359,32.5866,59.2717,81.3969,51.6695,63.8131
03160112,62.2516,44.2235,68.8497,81.7648,52.6745,55.5973,46.4453,48.6918,50.4536,69.0465,61.6814,63.8706,54.7157,49.2402,61.7075,56.403,65.1698,66.42,62.7375,49.6054,46.9452,70.4257,63.2241,69.1697,65.4008,63.2021,56.221,34.3314,57.4245,82.5291,52.5984,54.4457
03160113,59.6581,45.5329,63.2051,80.1245,53.0622,50.1551,48.3638,50.0424,51.6146,62.2655,60.8568,62.8272,58.7098,50.413,58.4039,57.9677,56.6895,66.1275,61.3125,49.7922,45.2938,62.5163,55.9511,62.8409,60.6008,66.4889,50.6796,36.0451,53.6983,72.4011,46.9867,52.5685
04100011,35.6124,42.8739,38.9096,39.1777,35.8928,39.9511,41.9188,34.4368,27.1883,34.3508,48.9085,26.5432,43.4431,35.4435,30.3478,37.5756,40.5081,38.0489,37.5488,32.5711,39.9585,33.8114,34.6687,43.0693,39.5154,40.3234,42.6704,43.0352,41.3933,33.675,33.8593,58.1766
04100012,35.0077,38.6463,40.3564,41.4027,36.511,41.4104,41.9776,36.5803,27.3576,37.1618,48.6828,27.4514,44.3583,35.6499,31.257,39.044,43.2518,38.6776,38.4248,33.3374,41.5722,31.6962,37.1092,42.9184,42.2908,41.7852,43.2296,45.8269,43.3913,35.2374,35.7632,60.2668
04110001,36.964,39.0417,39.5883,42.1059,39.6726,41.7736,39.7899,37.3685,30.646,41.7824,49.8363,28.1013,44.6503,37.7207,32.6765,38.9813,46.8754,37.9683,38.2681,36.4066,42.5366,32.9176,38.5515,45.4202,46.3115,43.1665,45.4939,46.1428,45.3888,36.884,37.8933,61.8367
04110002,41.8504,44.6587,41.2565,44.2305,45.6602,45.9525,42.1081,38.6945,34.5046,42.6341,53.8178,28.2489,46.5918,42.0478,36.3411,40.4652,51.5864,38.2511,38.3479,39.1942,43.3364,35.1333,38.6986,51.1739,48.4195,44.4234,50.8005,46.9814,48.4257,41.1498,39.7224,63.0756
04110003,41.4822,46.7543,40.0637,43.6401,44.6977,47.858,45.4467,44.457,36.3214,46.0474,56.5164,32.1141,48.1133,45.3001,39.3069,42.1834,58.4493,39.6564,36.8534,40.7028,43.5144,35.4091,39.0922,50.4209,47.1116,45.7575,55.6438,49.1167,53.748,42.0288,38.9812,65.2228
04110004,42.3105,46.0117,39.5117,42.8084,44.5529,48.0443,45.7476,44.3513,37.4172,46.0953,55.2607,31.8826,47.4355,45.3924,41.1135,41.1394,58.3044,38.6452,36.6556,40.8034,42.4448,35.4,39.8281,51.3485,48.2442,45.7832,56.2359,48.6297,53.6676,42.097,41.4437,65.8936
04120101,47.2701,46.247,45.1004,47.3109,45.1369,50.941,50.2844,46.9003,41.1342,45.2842,59.6204,35.0719,49.9647,46.3011,46.1309,40.304,60.183,45.5278,38.934,40.5847,45.7842,38.7107,47.5658,50.4812,54.2716,49.1329,51.9955,46.7158,54.441,46.4698,45.1983,60.3533
04130002,35.0368,41.9729,38.4387,37.2216,46.6135,39.8487,42.1087,41.1705,33.9052,42.79,48.3288,33.2982,46.2384,39.649,44.2298,37.1558,49.3972,42.7753,42.775,39.7352,44.6233,33.5426,45.5166,49.7544,49.4373,44.6159,50.5088,41.9978,44.628,39.9973,44.2738,51.3465
05010001,43.8092,48.5035,45.2747,45.5716,53.1476,47.0557,48.6682,48.3557,40.9925,47.8185,61.4957,38.8736,55.8625,48.8951,55.6225,43.8288,59.1787,50.767,44.2326,43.1003,45.3646,38.928,50.9359,55.4533,55.7603,46.6468,53.931,50.0845,50.1842,48.9899,46.8492,59.2596
05010002,46.6689,47.2957,47.712,46.7632,51.6536,52.0281,54.4722,45.9722,49.8344,49.9669,66.9431,43.3221,57.0783,50.6768,53.2799,45.5733,60.1292,53.6503,43.2264,43.9467,46.847,40.5693,52.245,52.099,56.6848,50.5638,52.3416,51.8801,56.5567,56.3391,51.3326,59.6186
05010003,47.5983,51.3615,45.4799,49.1796,52.9391,52.9575,50.8001,51.8009,43.3837,51.787,61.9111,39.0954,54.3989,49.7175,53.6082,44.671,58.4112,47.8115,41.5196,45.3809,45.1955,40.1053,50.1688,55.4506,57.839,44.8924,56.6931,53.3516,53.7609,49.9083,45.7193,63.2899
05010004,49.2693,52.8118,46.7745,48.9451,50.7784,54.1896,51.0208,51.07,44.5692,49.6887,63.4183,35.5895,53.5683,48.7079,49.6444,42.6346,61.9536,48.234,39.75,43.8876,47.4505,40.6023,48.1048,55.8299,57.6824,48.0338,55.9155,51.929,56.0411,49.3311,44.8314,64.2917
05010005,46.0356,49.2786,45.4542,50.3155,54.8228,51.4956,50.2213,47.7585,39.131,48.9829,58.4466,37.775,53.3245,48.7884,55.0536,43.7619,59.1034,47.9734,43.0518,46.3188,44.4651,39.1289,50.8332,53.1907,58.6021,44.6495,55.9061,53.1095,50.5821,47.8019,44.2641,61.4558
05010006,46.1428,47.0522,42.4202,46.6672,51.8221,47.5481,51.7583,44.8391,34.5691,46.829,55.7999,34.8275,46.9699,46.9731,53.9403,40.4141,57.9821,46.2343,40.7647,45.7654,44.2701,38.573,49.3545,53.4567,61.3918,45.1566,53.2022,52.2119,50.8406,47.7071,45.2684,61.9069
05010007,47.1562,47.4428,42.2551,46.3013,52.3626,47.9468,48.9598,45.109,41.7616,53.0073,52.8283,39.2853,42.8395,50.7145,50.4477,40.214,60.9422,47.8556,42.011,44.0811,44.0466,35.9601,46.2269,55.8094,58.415,44.2078,46.2969,50.51,49.3386,41.7592,47.026,58.4098
05010008,45.2486,48.1211,41.7041,44.2829,49.3747,48.9414,49.7044,46.3487,38.6597,49.9379,51.9121,38.0457,43.7231,46.5536,50.2652,38.8362,56.8012,45.0591,39.0562,43.9763,45.1656,37.5565,45.1413,54.8808,58.0231,45.8902,49.3034,54.4013,49.7415,45.22,45.2848,58.28
05010009,43.796,43.8182,38.9799,45.4081,46.944,48.2151,46.2353,43.5104,31.8034,45.7814,54.1692,32.6691,42.6747,43.4455,49.1304,37.3172,49.9011,42.5532,38.2858,41.9701,42.3399,38.0411,43.5752,49.9553,59.3105,44.2265,47.7166,51.8925,46.9465,43.4811,45.8029,57.3705
05020001,54.8074,56.55,53.9305,51.4664,59.2372,59.6639,55.6749,44.0152,42.3345,64.6031,60.5353,48.7484,50.0191,51.1693,58.7969,47.6582,78.256,52.6277,56.8722,48.2659,51.0555,48.9242,58.1628,68.6435,63.0058,52.6395,49.3737,56.6242,56.245,53.0222,48.4064,66.2017
05020002,52.1739,50.8063,46.5632,48.9583,49.3421,50.5049,50.5854,38.9531,37.7236,62.4766,59.7472,45.742,47.0435,48.4993,58.7699,47.7383,70.1893,48.6009,50.6427,45.0743,47.9808,46.5261,52.573,62.48,59.254,47.9303,47.1297,52.2355,54.3392,47.5097,45.2774,63.9867
05020003,50.2862,49.4279,42.1742,46.9695,49.5446,48.5405,49.2867,43.052,41.6272,55.6839,56.7679,39.3296,44.8915,45.6902,56.43,43.7443,66.4918,47.3735,47.036,43.8515,46.4516,45.0691,50.1733,61.908,55.8403,45.1825,45.7854,53.1285,54.9517,45.1274,43.7931,65.5172
05020004,54.2409,56.2516,52.9887,49.5222,59.0472,61.8035,55.2716,46.737,43.8307,62.3389,58.5783,46.5001,51.2234,52.828,60.4086,49.0322,78.7437,53.4874,52.2329,48.5052,51.0112,49.9089,60.1217,70.9485,62.3489,53.3851,50.7427,59.4735,61.87,54.6133,48.5043,69.1032
05020005,45.8646,44.8213,37.212,45.3873,42.5783,47.6991,45.5431,39.1134,37.0862,46.5901,50.5745,36.2008,40.4189,44.118,49.2764,37.9085,56.0596,41.2915,39.3455,42.9273,41.6861,39.7351,44.1871,54.8297,54.4947,42.612,42.3502,49.6744,48.7581,40.5434,40.0446,59.8859
05020006,45.1255,47.8614,41.8121,44.915,49.9141,52.3602,49.6822,44.2153,42.9318,52.2123,54.201,39.9013,44.5884,51.2289,53.026,42.0082,64.4623,47.6826,44.4264,44.4167,46.9172,41.9592,48.9358,60.5404,56.6318,47.3509,45.3259,53.8616,57.8221,50.7297,48.402,61.8256
05030101,48.1396,42.5557,38.4218,45.8801,40.9767,44.2995,39.43,37.8955,31.5974,41.1525,54.4208,31.5653,40.7589,40.4076,43.9178,35.0805,47.9307,38.8833,39.5521,39.3558,41.0348,36.9058,38.1859,49.3281,58.5596,44.5675,43.6173,47.6478,45.4072,37.7337,41.7225,54.8682
05030102,44.9602,45.1984,41.4808,44.7033,45.0658,47.7794,44.2723,44.3419,36.3593,43.2997,52.4082,30.4306,46.8577,42.4014,44.1695,38.1547,52.9771,38.5815,37.3867,40.4406,41.2883,35.5681,41.1611,52.2939,52.2992,46.4727,52.7398,47.0008,48.7549,42.2261,41.3619,60.0468
05030103,43.1693,41.0401,37.4852,43.2067,42.6937,43.3194,40.795,38.9312,33.0956,40.6198,51.4589,28.0815,44.3396,39.2353,39.809,36.3828,49.5759,35.6676,37.6638,38.2608,41.3369,34.4745,39.0177,52.1079,51.612,43.4468,50.0271,43.3173,46.9709,39.8036,40.2234,59.1988
05030104,45.7963,41.4356,37.938,43.4317,43.8859,44.4513,38.2742,40.0215,29.7129,40.8505,53.8958,31.7032,43.3797,40.0327,45.4196,37.0308,47.5528,38.9367,38.4967,39.3473,38.7709,35.7088,36.9225,49.4546,56.9096,45.6458,45.4341,47.5986,43.9418,40.0063,43.129,57.9335
05030105,45.7845,43.1556,39.7933,46.4261,48.2133,49.6634,44.7329,44.3543,33.9668,44.5745,54.3185,33.3013,46.6995,43.9031,49.3785,41.5208,51.2802,43.1213,39.3025,42.0113,41.9657,38.1401,42.5745,53.2654,57.7898,46.4224,49.6188,50.3024,47.4154,43.9988,44.4532,59.7822
05030106,51.6714,46.5187,39.7367,47.4841,40.198,45.2559,41.6526,37.9156,36.4633,50.4295,57.342,38.5191,42.3846,45.0857,48.9331,41.2313,54.9933,43.0526,43.8923,43.8906,43.694,42.3659,44.7992,56.1081,61.1248,45.5452,46.484,51.7529,51.0143,43.5078,39.4373,58.6714
05030201,49.1685,45.3668,43.3555,50.1328,42.7738,45.8462,44.3264,37.1557,37.6325,59.0383,60.3021,44.65,42.643,43.6931,52.2747,46.1164,59.8658,45.4911,48.0777,44.1628,47.0844,44.3391,47.7604,63.0293,60.4649,47.1533,48.7905,49.2582,53.9312,46.9153,45.639,64.9605
05030202,45.8269,36.9987,43.55,46.0727,39.6053,44.1429,39.7633,30.5302,34.8133,56.1788,53.1394,43.699,38.2608,40.1622,48.9963,45.2892,56.3301,44.0708,49.1374,41.1927,44.2231,39.5608,48.9659,57.0934,54.7055,40.588,47.5187,41.3787,49.8804,44.3422,46.3882,61.8333
05030203,49.8043,44.7779,46.4535,50.837,46.6544,49.6335,48.9293,37.8416,37.1466,64.9109,58.6556,47.8227,47.9363,45.52,56.6112,50.3004,65.1843,48.7189,53.0028,43.9317,47.9016,46.0251,52.4691,65.4579,59.8343,49.1953,48.2856,46.2693,53.4276,49.939,47.6123,64.736
